purplecrane1,一个黑娃，从不开口，一旦开口，掉出舌头。猜猜这是什么？猜出来的话写在纸上，放在外头的树洞吧。
bluecrane1,猜不出来。是什么？还有。你是谁？
purplecrane2,是瓜子，那个谜底是瓜子。我的名字叫紫。
bluecrane2,瓜子是什么？你好。紫。我的名字叫蓝。
purplecrane3,你连瓜子都不知道吗？
bluecrane3,不知道。我想看看瓜子是什么。你有瓜子吗？还有。我想见见你。可以吗？
purplecrane4,好啊，你知道岛上的沼地在哪里吧？去往沼泽地的路上有块大石头，我们在那儿见吧。
purplecranes,今天有外岛跟神木岛接触，我们私奔吧！我在外岛等你！
cyanpray,伟大的神树啊，感谢赞美你，因着你的大能和大爱，承蒙您的旨意，我这卑微的生命竟能继续存续！
cyanrepent,伟大的神树，我向您诉罪，因为我一直无法释怀对哥哥的嫉妒之情，仍然对自己的身份感到不满足。从今往后，我将排去杂念，全心全意地侍奉您。
cyanreport1.1,神树树干有几处受损，幸而损伤不重。
cyanreport1.2,已经增加了神树的守卫。
cyanreport1.3,放炸药的主谋还未找到，会继续寻找。
cyanreporttitle,报告
cyanreportdate1,1011年
cyanreportdate2,1012年
cyanreport2,发现有教徒在宣扬异端邪说，其名为“黑”，是个贩卖古物的商人。
cyanreport3,已将“黑”关入小黑屋面壁思过，其间“黑”反应激烈，一直大喊大叫。放他出来后，他表示自己怕黑，并承诺放弃异端思想。
redletter1,你好，父亲，我是你的女儿，你是故意不想见我吗？如果真的是这样的话我会很难过，不过应该不是这样吧。
redletter2,你好，父亲，我是你的女儿，你大概不知道有我的存在吧，请你不要惊慌，我只是想告诉你，我现在过得还不错。
redletter3,你好，父亲，我今天帮你算了命，是好运，虽然坦白说算命这一套大多是骗人的，但有时也是很准的。当我诚信诚意算的时候，会比较准，就像这次。
redletter4,你好，父亲，你一定很忙吧，我今天远远地看到你了，你看起来有些累，请好好休息，保重身体。
redbottleinfo1,神木岛好无聊，神木教也好无聊，我是想不明白为什么人要崇拜一棵树。
redbottleinfo2,上次去外岛的时候碰到个很有趣的人，到现在心里还在想他。为什么外岛的人总是比较有趣呢？
redbottleinfo3,无上的神树啊， 我管理的犯人居然是之前被流放的”蓝“主教，“黑”主教要我在救赎仪式之后暗中杀了他。主教说他是罪人，处死罪人不算杀生，但他真的是吗？他能在被流放之后还平安归来，难道不正是受神树所庇护吗？我只是个不重要的地牢看守，不敢反抗主教的旨意，但主教的旨意是否就是无上的神树的旨意呢？哎……
redbottleinfo4,邻居真是讨厌极了，虽然每天我还是笑着跟她打招呼，但真的是打心眼里讨厌她。听说她以前是个小偷，肯定就是她偷了我家东西。
redbottleinfo5,那家伙说他挖到的夜光石可以聚人精魂，使人长生不死，整天抱着石头睡觉。我都说了那是迷信，但就是劝不听。
orangeceremony1,早晨七时，主教带领神父及修女入场
orangeceremony2,七时十分，神父作祷告，唱圣歌，用圣水为神父净手。
orangeceremony3,七时二十分，修女用圣锤打开救赎殿
orangeceremony4,七时三十分，主教进入救赎殿
orangeceremony5,七时四十分，修女关闭救赎殿
orangeceremony6,次日七时，修女打开救赎殿，迎接主教出殿
orangeceremony7,次日七时十分，神父做祷告，唱圣歌，修女关闭救赎殿
orangeletter1,今天是最糟的一天，妹妹病逝了，你也抛下了我。
orangeletter2,妹妹临终跟我说，她不恨那个人，即使那个人选择了自己的道路，装作不认识她，她也不恨那个人。我知道自己早就失去了妹妹，今天只是彻底失去她。或许妹妹对我的背叛是我自找的吧，毕竟我曾卑鄙地想破坏她的幸福。
orangeletter3,可是你呢？你究竟是为什么要离开我！难道也是因为我的使命吗？我也想像妹妹那样豁达，但我做不到，我从心底恨你，到死都会恨你!
orangeletter4,或许这条路大概注定是孤独的吧。天要亮了，这是不知道第几瓶了，夜晚的时候我确实懦弱过，有想过要寻死，但我改变主意了，我会在这条孤独的路上走到底。
whitetasktitle,每日提炼高强度韧性金属材料单报表
whitetaskcontent,今日完成量： 0/10公斤
goldrecipe1,A材料：强烈腐蚀性
goldrecipe2,B材料：易被植物吸收
goldrecipe3,A和B以X：Y的比例混合，炼制T小时，能制得可被植物吸收的腐蚀性液体。
goldrecipetitle,配置方法
purpleplantitle,计划
purpleplan1,1.引诱蓝主教
purpleplan2,2.与蓝主教见面
purpleplan3,3.刺杀蓝主教 X
purpleplan4,4.和蓝主教在一起
purpleplan5,5.好好抚养我们的女儿